time,tweets
2018-08-07 14:45:38,"RT @abhishkJntrMnt: #NoConfidenceMotion
@INCIndiaLive @pvssarma @ANI @MinhazMerchant @sunetrac @IYC @akhileshsharma1 
@SharmaKhemchand @Kap…"
2018-08-07 14:24:30,"RT @BMSURANA: @RahulGandhi After  #NoConfidenceMotion Results
Italian #Pidi URL"
2018-08-07 14:18:44,"RT @Lakshya2019: Joining the Mission! After declining #NoConfidenceMotion Telangana CM meets PM Modi, shares interest on post-poll alliance…"
2018-08-07 13:17:46,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 13:15:18,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 13:10:25,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
2018-08-07 13:06:14,"RT @maqbool_sm: @RahulGandhi @divyaspandana Blackout during your speech on the #NoConfidenceMotion. 

They use master switch to blackout al…"
2018-08-07 13:05:05,"RT @maqbool_sm: @RahulGandhi @divyaspandana Blackout during your speech on the #NoConfidenceMotion. 

They use master switch to blackout al…"
2018-08-07 13:03:28,"RT @Mahaveerdas97: #NoConfidenceMotion
@mlkhattar Govt. and IG Anil Rao is responsible for Barwala Scandal 2014.
In police proceedings 6 pe…"
2018-08-07 13:02:39,RT @JitinPrasada: @RahulGandhi stood up against the might of the govt and exposed their betrayal of the people of India and their aspiratio…
2018-08-07 12:35:57,"RT @maqbool_sm: @RahulGandhi @divyaspandana Blackout during your speech on the #NoConfidenceMotion. 

They use master switch to blackout al…"
2018-08-07 12:16:22,"@RahulGandhi @divyaspandana Blackout during your speech on the #NoConfidenceMotion. 

They use master switch to bla… URL"
2018-08-07 11:54:50,RT @timesofindia: 'Who stalled GST in Parliament? Who held up OROP for so many years?: PM @narendramodi attacks UPA government in Lok Sabha…
2018-08-07 11:26:58,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 11:26:46,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 11:26:20,RT @ncbn: We moved #NoConfidenceMotion against the centre after all our efforts to seek the centre’s support failed. NDA govt has repeatedl…
2018-08-07 11:26:01,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
2018-08-07 11:24:22,RT @varunpuri1984: I thank you @RahulGandhi for for the entertainment for the day . It was real treat to see you speak in parliament . Now…
2018-08-07 11:01:50,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 10:31:25,RT @itzsaifkhan_: *Oru adaar love song plays in background* #NoConfidenceMotion URL
2018-08-07 10:30:02,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
2018-08-07 10:27:37,RT @itzsaifkhan_: *Oru adaar love song plays in background* #NoConfidenceMotion URL
2018-08-07 10:20:36,@RahulGandhi This tweet by Crooked Spandana gang Pidis? Italian Pappu pager today lied in LokSabha during… URL
2018-08-07 10:09:19,RT @diptidange: @ghost22090440 @ankurshah077077 @Rppatel40 @rclcpa4 @Prakash12Joshi @Mukeshreal02 @mahendra24_ @wani_darshan @Rakesh25182 @…
2018-08-07 09:59:47,"RT @drshraddha16: #NoConfidenceMotion
PIC1 How @narendramodi ji sees&amp;behaves in Parliament
PIC2 How @RahulGandhi sees&amp; behaves in Parliamen…"
2018-08-07 09:45:51,"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…"
2018-08-07 09:38:13,"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…"
2018-08-07 09:37:13,#NoConfidenceMotion was an ultimate drama show created by a group of those party who have bad luck this time. Bcz n… URL
2018-08-07 09:36:34,"RT @drshraddha16: #NoConfidenceMotion
PIC1 How @narendramodi ji sees&amp;behaves in Parliament
PIC2 How @RahulGandhi sees&amp; behaves in Parliamen…"
2018-08-07 09:27:17,"RT @drshraddha16: #NoConfidenceMotion
PIC1 How @narendramodi ji sees&amp;behaves in Parliament
PIC2 How @RahulGandhi sees&amp; behaves in Parliamen…"
2018-08-07 09:15:37,"RT @rupasubramanya: Not only did @narendramodi not mention his government's biggest and boldest policy decision demonetisation, he only mad…"
2018-08-07 09:08:44,"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…"
2018-08-07 08:53:36,RT @priyankac19: When @RahulGandhi ji taught PM @narendramodi the right way to do Hugplomacy and also what being a true Hindu is - Love for…
2018-08-07 08:37:57,"RT @bjptarunchugh: Our #NDA Govt led by Our Hon'ble PM @narendramodi ji has emerged stronger after the Vote on #NoConfidenceMotion ..

Befo…"
2018-08-07 08:11:12,"RT @timesofindia: #BREAKING | TDP's #NoConfidenceMotion defeated in Lok Sabha. 

NDA: 325 votes
Opposition:126 votes

#MonsoonSession LIVE…"
2018-08-07 08:10:49,RT @timesofindia: Our government has decided to put out data on jobs every month. 45 lakh subscribers added to EPFO in the last 9 months: P…
2018-08-07 08:10:40,"RT @timesofindia: India is seeing the record pace at which roads are being built, villages are being connected, i-ways are being built, dev…"
2018-08-07 08:10:34,RT @timesofindia: Any instance of violence brings shame to the nation. I will once again urge the state governments to punish those who ind…
2018-08-07 08:10:27,"RT @timesofindia: This Government stands with the Muslim women in their quest for justice: PM @narendramodi in Lok Sabha 

#NoConfidenceMot…"
2018-08-07 08:10:21,"RT @timesofindia: Much before Internet Banking, Congress party invented Phone Banking and this caused the NPA mess. A phone call would get…"
2018-08-07 08:10:16,RT @timesofindia: 'Who stalled GST in Parliament? Who held up OROP for so many years?: PM @narendramodi attacks UPA government in Lok Sabha…
2018-08-07 08:10:07,"RT @timesofindia: Banks were looted during UPA rule. Congress laid NPA landmine for Indian banks PM @narendramodi in Lok Sabha 

#NoConfide…"
2018-08-07 08:07:54,"RT @rupasubramanya: Not only did @narendramodi not mention his government's biggest and boldest policy decision demonetisation, he only mad…"
2018-08-07 08:06:45,"RT @Lakshya2019: Joining the Mission! After declining #NoConfidenceMotion Telangana CM meets PM Modi, shares interest on post-poll alliance…"
2018-08-07 07:58:15,"RT @CMOhryShadow: Politics in Haryana this week :-

INLD &amp; AAP :

1. INLD abstains from voting during #NoConfidenceMotion 
2. @AAPHaryana ,…"
2018-08-07 07:40:13,RT @subtel1: Get rid of May now !! #MayMustGo #NoConfidenceMotion URL
2018-08-07 07:38:59,Get rid of May now !! #MayMustGo #NoConfidenceMotion URL
2018-08-07 07:22:57,"RT @abhi_leo1: #NoConfidenceMotion

A Random beautiful girl ""accidently"" looks at me..

Me:😺 URL"
2018-08-07 06:15:52,RT @pankajjmiishra: If pic1 on the Left (@RahulGandhi की #jadukijhappi) is claimed as drama by them then what do the andhbhakts have to say…
2018-08-07 06:05:53,"RT @Ra_THORe: Rahul Gandhi, in his #NoConfidenceMotion speech, pathetically accuses @narendramodi ji &amp; @amitshah ji of being power-hungry.…"
2018-08-07 06:05:49,"RT @Ra_THORe: Rahul Gandhi says he went to Surat and traders there complained about being ""destroyed"" by demonetization.

Perhaps that's wh…"
